priceTimestamp,pricePVPC,priceSpot
2025-05-14T00:00:00Z,113.94,41.2
2025-05-14T10:00:00Z,138.58,-1.13
2025-05-14T11:00:00Z,132.89,-4.0
2025-05-14T12:00:00Z,69.87,-3.0
2025-05-14T13:00:00Z,72.46,-1.54
2025-05-14T14:00:00Z,72.93,-0.89
2025-05-14T15:00:00Z,74.33,-0.01
2025-05-14T16:00:00Z,143.89,0.17
2025-05-14T17:00:00Z,174.87,26.09
2025-05-14T18:00:00Z,195.26,46.5
2025-05-14T19:00:00Z,210.01,64.03
2025-05-14T01:00:00Z,107.74,37.41
2025-05-14T20:00:00Z,145.1,61.51
2025-05-14T21:00:00Z,125.43,40.14
2025-05-14T22:00:00Z,112.89,32.95
2025-05-14T23:00:00Z,101.8,19.71
2025-05-14T02:00:00Z,106.36,36.0
2025-05-14T03:00:00Z,109.12,40.05
2025-05-14T04:00:00Z,119.39,53.08
2025-05-14T05:00:00Z,149.48,91.53
2025-05-14T06:00:00Z,140.13,57.64
2025-05-14T07:00:00Z,116.38,37.8
2025-05-14T08:00:00Z,139.38,0.28
2025-05-14T09:00:00Z,139.3,-0.02
2025-05-13T00:00:00Z,106.42,37.83
2025-05-13T10:00:00Z,135.21,-0.5
2025-05-13T11:00:00Z,130.39,-2.51
2025-05-13T12:00:00Z,66.66,-2.08
2025-05-13T13:00:00Z,69.49,-0.01
2025-05-13T14:00:00Z,69.71,0.0
2025-05-13T15:00:00Z,70.77,0.65
2025-05-13T16:00:00Z,165.24,24.7
2025-05-13T17:00:00Z,174.81,33.56
2025-05-13T18:00:00Z,238.14,92.67
2025-05-13T19:00:00Z,273.39,128.07
2025-05-13T01:00:00Z,101.18,35.01
2025-05-13T20:00:00Z,194.24,112.3
2025-05-13T21:00:00Z,156.5,74.55
2025-05-13T22:00:00Z,132.33,64.93
2025-05-13T23:00:00Z,116.02,45.33
2025-05-13T02:00:00Z,102.2,35.01
2025-05-13T03:00:00Z,104.01,39.79
2025-05-13T04:00:00Z,131.87,70.0
2025-05-13T05:00:00Z,161.55,108.09
2025-05-13T06:00:00Z,146.0,68.25
2025-05-13T07:00:00Z,97.34,25.58
2025-05-13T08:00:00Z,136.75,1.2
2025-05-13T09:00:00Z,135.23,0.0
2025-05-12T00:00:00Z,97.45,17.7
2025-05-12T10:00:00Z,144.4,-4.0
2025-05-12T11:00:00Z,141.51,-4.0
2025-05-12T12:00:00Z,77.42,-4.0
2025-05-12T13:00:00Z,78.4,-4.21
2025-05-12T14:00:00Z,79.24,-4.0
2025-05-12T15:00:00Z,81.33,-1.54
2025-05-12T16:00:00Z,148.98,0.0
2025-05-12T17:00:00Z,160.96,10.3
2025-05-12T18:00:00Z,214.1,61.81
2025-05-12T19:00:00Z,276.83,122.03
2025-05-12T01:00:00Z,95.71,15.3
2025-05-12T20:00:00Z,196.35,103.75
2025-05-12T21:00:00Z,161.97,70.44
2025-05-12T22:00:00Z,130.83,67.0
2025-05-12T23:00:00Z,111.48,45.01
2025-05-12T02:00:00Z,93.93,14.0
2025-05-12T03:00:00Z,93.74,15.3
2025-05-12T04:00:00Z,97.3,22.34
2025-05-12T05:00:00Z,103.4,35.01
2025-05-12T06:00:00Z,110.64,22.1
2025-05-12T07:00:00Z,89.44,6.0
2025-05-12T08:00:00Z,147.04,-0.89
2025-05-12T09:00:00Z,145.27,-3.0
